Year,Subject,Topic,No of questions
2017,Chemistry,Solid State,1
2017,Chemistry,Surface Chemistry,1
2017,Chemistry,Chemical Kinetics,1
2017,Physics,Capacitance,2
2017,Physics,Electromagnetic Field,1
2017,Physics,Current Electricity,3
2017,Physics,Electrostatics,1
2017,Physics,Electromagnetic Induction,1
2017,Physics,Calorimetry and Thermal Expansion,2
2017,Physics,Thermodynamics and KTG,2
2017,Physics,Gravitation,1
2017,Physics,Elasticity and Viscosity,1
2017,Physics,Rigid Body Dynamics,2
2017,Physics,Rectilinear Motion and Vectors,1
2017,Physics,"Work, Power and Energy",2
2017,Physics,Surface Tension,1
2017,Physics,Modern Physics,3
2017,Physics,Semiconductors,1
2017,Physics,Nuclear Physics,1
2017,Physics,Geometrical & Physical Optics,1
2017,Physics,Wave Optics,1
2017,Physics,Principle of Communication,1
2017,Physics,Sound Waves,1
2017,Physics,Simple Harmonic Motion,1
2016,Maths,Binomial Theorem,1
2016,Maths,Vector,1
2016,Maths,Circle,2
2016,Maths,Complex Numbers,1
2016,Maths,Parabola,1
2016,Maths,Hyperbola,1
2016,Maths,Coordinate Geometry (3D),2
2016,Maths,Straight line,1
2016,Maths,Functions,1
2016,Maths,Application of Derivatives,1
2016,Maths,Methods of Differentiation,1
2016,Maths,"Limit, Continuity and Differentiability",1
2016,Maths,Area under curves,1
2016,Maths,Tangents and Normals,1
2016,Maths,Differential Equations,1
2016,Maths,Definite Integration,1
2016,Maths,Mathematical Reasoning,1
2016,Maths,Indefinite Integration,1
2016,Maths,Permutation and Combination,1
2016,Maths,Matrices and Determinants,2
2016,Maths,Quadratic Equation,1
2016,Maths,Probability,1
2016,Maths,Statistics,1
2016,Maths,Sequence and Series,2
2016,Maths,Trigonometric Equations,1
2016,Maths,Trigonometric Ratio and Identities,1
2016,Physics,Capacitance,1
2016,Physics,Alternating Current,1
2016,Physics,Electromagnetic Field,2
2016,Physics,Current Electricity,1
2016,Physics,Thermodynamics and Kinetic Theory,3
2016,Physics,Electrostatics,1
2016,Physics,Gravitation,1
2016,Physics,Error in Measurement,2
2016,Physics,"Work, Power and Energy",2
2016,Physics,Rigid Body Dynamics,2
2016,Physics,Modern Physics,2
2016,Physics,Electromagnetic Waves and Communication,2
2016,Physics,Geometrical and Physical Optics,2
2016,Physics,Semiconductors,4
2016,Physics,Simple Harmonic Motion,1
2016,Physics,Wave Optics,1
2016,Physics,String Wave,1
2016,Physics,Sound Waves,1
2016,Chemistry,Hydrogen and Its Compounds,1
2016,Chemistry,Chemical Bonding,2
2016,Chemistry,Periodic Table and Periodicity in Properties,1
2016,Chemistry,P Block Elements,1
2016,Chemistry,Coordination Compounds,2
2016,Chemistry,S Block Elements,1
2016,Chemistry,Metallurgy,1
2016,Chemistry,D and F Block Elements,2
2016,Chemistry,Qualitative Analysis,1
2016,Chemistry,Biomolecules,1
2016,Chemistry,General Organic Chemistry,2
2016,Chemistry,Environmental Chemistry,1
2016,Chemistry,"Carbohydrates, Amino Acids and Polymers",1
2016,Chemistry,Practical Organic Chemistry,2
2016,Chemistry,Hydrocarbon,3
2016,Chemistry,Atomic Structure and Nuclear Chemistry,1
2016,Chemistry,Thermodynamics and Thermochemistry,1
2016,Chemistry,Chemical Equilibrium,1
2016,Chemistry,Solutions and Colligative Properties,1
2016,Chemistry,Chemical Kinetics,1
2016,Chemistry,Surface Chemistry,2
2016,Chemistry,Gaseous State,1
2015,Maths,Binomial Theorem,1
2015,Maths,Vector,1
2015,Maths,Ellipse,1
2015,Maths,Complex Numbers,1
2015,Maths,Straight Line,1
2015,Maths,Hyperbola,1
2015,Maths,Application of Derivatives,2
2015,Maths,3D Geometry,2
2015,Maths,"Limit, Continuity and Differentiability",1
2015,Maths,Functions,2
2015,Maths,Tangents and Normals,1
2015,Maths,Methods of Differentiation,1
2015,Maths,Definite Integration,1
2015,Maths,Area under Curve,1
2015,Maths,Indefinite Integration,1
2015,Maths,Differential Equation,1
2015,Maths,Matrix and Determinants,2
2015,Maths,Mathematical Reasoning,1
2015,Maths,Probability,2
2015,Maths,Permutation and Combination,1
2015,Maths,Sequence and Series,1
2015,Maths,Trigonometric Equation,1
2015,Maths,Statistics and Quadratic Equation,2
2015,Maths,Trigonometric Ratio and Identities,1
2015,Chemistry,Periodic Table & Periodicity in Properties,1
2015,Chemistry,Chemical Bonding,2
2015,Chemistry,S Block Elements,2
2015,Chemistry,Qualitative Analysis,1
2015,Chemistry,Coordination Compounds,1
2015,Chemistry,"Alkyl Halide, Alcohol and Ether",4
2015,Chemistry,General Organic Chemistry,1
2015,Chemistry,Biomolecules,1
2015,Chemistry,Aromatic Compounds,1
2015,Chemistry,Carbonyl Compounds,1
2015,Chemistry,"Carbohydrates, Amino Acids and Polymers",1
2015,Chemistry,"Grignard Reagent, Oxidation, Reduction, and Hydrolysis",1
2015,Chemistry,Environmental chemistry,1
2015,Chemistry,Ionic Equilibrium,1
2015,Chemistry,Atomic Structure and Nuclear Chemistry,1
2015,Chemistry,Thermodynamics and Thermochemistry,2
2015,Chemistry,Mole Concept,3
2015,Chemistry,Electrochemistry,1
2015,Chemistry,Solution and Colligative Properties,1
2015,Chemistry,Solid State,1
2015,Chemistry,Surface Chemistry,1
2015,Chemistry,Chemical Kinetics,1
2015,Physics,Capacitance,2
2015,Physics,Electromagnetic Field,1
2015,Physics,Current Electricity,3
2015,Physics,Electrostatics,1
2015,Physics,Electromagnetic Induction,1
2015,Physics,Calorimetry and Thermal Expansion,2
2015,Physics,Thermodynamics and KTG,2
2015,Physics,Gravitation,1
2015,Physics,Elasticity and Viscosity,1
2015,Physics,Rigid Body Dynamics,2
2015,Physics,Rectilinear Motion and Vectors,1
2015,Physics,"Work, Power and Energy",2
2015,Physics,Surface Tension,1
2015,Physics,Modern Physics,3
2015,Physics,Semiconductors,1
2015,Physics,Nuclear Physics,1
2015,Physics,Geometrical & Physical Optics,1
2015,Physics,Wave Optics,1
2015,Physics,Principle of Communication,1
2015,Physics,Sound Waves,1
2015,Physics,Simple Harmonic Motion,1
